timestamp_iso,source,frame,class,human_id,track_id,conf,x1,y1,x2,y2,crop_path,posture_hint,motion_score,child_by_scale_hint
2026-01-28T23:31:39.236,file,0,man,Man1,1,0.7247152328491211,0,200,59,478,detections\man\20260128_233139_236565_Man1.jpg,standing/upright,0.00,0
2026-01-28T23:31:39.236,file,0,woman,Woman1,2,0.6010199189186096,116,269,234,478,detections\woman\20260128_233139_236565_Woman1.jpg,unknown,0.00,0
2026-01-28T23:31:39.236,file,0,woman,Woman2,3,0.6007959246635437,463,184,623,477,detections\woman\20260128_233139_236565_Woman2.jpg,unknown,0.00,0
2026-01-28T23:31:39.522,file,1,man,Man1,1,0.6700899600982666,0,200,56,477,detections\man\20260128_233139_522146_Man1.jpg,standing/upright,39.75,0
2026-01-28T23:31:39.522,file,1,woman,Woman1,2,0.6395034193992615,110,270,227,478,detections\woman\20260128_233139_522146_Woman1.jpg,unknown,37.30,0
2026-01-28T23:31:40.767,file,3,man,Man2,2,0.6283997297286987,112,171,247,414,detections\man\20260128_233140_767792_Man2.jpg,unknown,39.31,0
2026-01-28T23:31:41.044,file,4,woman,Woman2,3,0.676397442817688,423,181,585,477,detections\woman\20260128_233141_044630_Woman2.jpg,unknown,29.01,0
2026-01-28T23:31:41.302,file,5,woman,Woman2,3,0.7196547389030457,415,178,578,477,detections\woman\20260128_233141_302540_Woman2.jpg,unknown,28.83,0
2026-01-28T23:31:41.626,file,6,woman,Woman2,3,0.6225254535675049,398,179,560,477,detections\woman\20260128_233141_626119_Woman2.jpg,unknown,44.48,0
2026-01-28T23:31:41.626,file,6,woman,Woman3,5,0.7092481851577759,43,269,163,478,detections\woman\20260128_233141_626119_Woman3.jpg,unknown,53.46,0
2026-01-28T23:31:41.884,file,7,woman,Woman2,3,0.6511698961257935,385,180,547,477,detections\woman\20260128_233141_884686_Woman2.jpg,unknown,29.11,0
2026-01-28T23:31:41.884,file,7,woman,Woman3,5,0.6120766401290894,31,268,152,478,detections\woman\20260128_233141_884686_Woman3.jpg,unknown,35.15,0
2026-01-28T23:31:42.144,file,8,woman,Woman2,3,0.6915850043296814,374,180,536,477,detections\woman\20260128_233142_144774_Woman2.jpg,unknown,29.77,0
2026-01-28T23:31:42.533,file,9,woman,Woman2,3,0.6353627443313599,364,179,527,477,detections\woman\20260128_233142_533321_Woman2.jpg,unknown,30.62,0
2026-01-28T23:31:42.533,file,9,man,Man3,5,0.7433921694755554,34,170,179,428,detections\man\20260128_233142_533321_Man3.jpg,unknown,39.81,0
2026-01-28T23:31:43.066,file,10,woman,Woman2,3,0.6692304611206055,353,178,516,477,detections\woman\20260128_233143_066684_Woman2.jpg,unknown,31.44,0
2026-01-28T23:31:43.066,file,10,man,Man3,5,0.6593478322029114,26,153,173,419,detections\man\20260128_233143_066684_Man3.jpg,unknown,41.35,0
2026-01-28T23:31:43.066,file,10,woman,Woman4,1,0.7120714783668518,28,270,78,478,detections\woman\20260128_233143_066684_Woman4.jpg,standing/upright,34.35,0
2026-01-28T23:31:43.572,file,11,woman,Woman2,3,0.676834762096405,344,179,507,477,detections\woman\20260128_233143_572572_Woman2.jpg,unknown,31.32,0
2026-01-28T23:31:43.572,file,11,man,Man3,5,0.7242542505264282,20,148,164,416,detections\man\20260128_233143_572572_Man3.jpg,unknown,41.44,0
2026-01-28T23:31:43.572,file,11,child,Child1,7,0.6844935417175293,734,219,794,393,detections\child\20260128_233143_572572_Child1.jpg,standing/upright,37.53,1
2026-01-28T23:31:43.572,file,11,woman,Woman4,1,0.7035635113716125,20,272,74,478,detections\woman\20260128_233143_572572_Woman4.jpg,standing/upright,33.97,0
